,name,description,cluster
2574,Производитель работ,"Координация работы бригады монтажников, обеспечение расходными материалами,",23
3500,Электромонтажник,"•	монтаж систем охраны, пожаротушения и эвакуации, видеонаблюдения, СКУД, сетей связи и систем электроснабжения;

•	электромонтаж внутренних электрических сетей зданий и сооружений, освещения;

•	сборка электрических щитов, подключение их к распределительной сети;

•	монтаж силовых кабелей в различной изоляции, различного сечения, в том числе на открытом воздухе и в земле;

•	пуско-наладочные работы, ремонт и обслуживание электоросетей и оборудования.",23
1741,Наладчик КИПиА,Обеспечение надёжной работы оборудования цеха по производству сыров,23
3502,Наладчик КИПиА,…,23
1240,Техник,"Обслуживал компанию связной , Определение поломки техники , замена комплектуюших запчастей , установка операционной системы . 4 месяца работал в биллайне протяжка линии шпд подключение абонентов по заявке",23
3104,Индивидуальная трудовая деятельность,"Составление дефектных ведомостей, Договоров подряда, участие в тендерах проводимых как очно, так и on-line, составление смет в программе Гранд-Смета, Актов скрытых работ, Актов выполненных работ, участие в комиссии гос.приёмки выполненных работ в качестве исполнителя. Найм и обучение персонала, работа на объектах: строительные, монтажные, отделочные, сантехнические работы.

Участие и победы в судах со страховой компанией и с налоговой инспекцией (самостоятельная защита, без адвоката).

Организация грузоперевозок автомобильным транспортом, через сайт ati.ru

Изобретение, сборка и использование портативной переносной бурильной установки и бурение скважин на воду глубиной до 60 м.",24
3386,Директор обособленного подразделения.,"Работа с нормативно-правовыми актами, регламентирующие производственно-хозяйственную и финансово-экономическую деятельность.
Профиль, специализацию и особенности структуры организации в целом и обособленного подразделения в частности; - перспективы технического, экономического и социального развития отрасли; - кадровые ресурсы обособленного подразделения; - налоговое, трудовое, гражданское законодательство; - управление экономикой и финансами организации (предприятия); - этику делового общения; - психологию деловых отношений; - принципы, методы управления персоналом; - стратегические и маркетинговые аспекты управления; - требования к составлению деловой документации; - основы юриспруденции; - правила и нормы охраны труда.",24
1656,экономист отдела труда и зарплаты,"Приказы, служебные записки, работа с цехами по документам зарплаты и премии, учет спец. техники, премия фонда производства, сверхурочные часы, выходные и праздничные дни, графики сменности, годовая переработка , ведение табеля, проверка путевых листов к табелям и т.д.",24
3573,Контролер качества,"1) Ежесменный аудит производства: 
- выявление нарушений технологического процесса; 
- выявление нарушений санитарного состояния (мониторинг температурных режимов, контроль внешнего вида сотрудников и их рабочих мест)
- контроль проведения ежесменых, еженедельных и генеральных моек на производстве согласно установленного графика.
- составление отчета о выявленых нарушениях и его отправка руководству.
2) Работа с браком на производстве:
- актирование брака по номенклатуре и типу дефектов
- формирование отчета с описанием кол-ва и причин брака.
- ведение ежесменной статистики брака на предприятии.
3) Входной контроль вспомогательных материалов:
- проверка документации
- отбор проб",24
502,Руководитель проекта создания питомника декоративных культур,"Должностные обязанности и достижения:	Составление плана создания питомника декоративных культур ""с нуля"", в т.ч. с использованием закрытого грунта для размножения растений; проведение переговоров по закупке оборудования (тепличного, оросительного) и посадочного материала (в т. ч. за рубежом - Германия, Польша с выездом в питомники и участие в выставке декоративного питомниководства в Германии, знакомство с передовыми технологиями - системы параллельного вождения, орошения,  и тп), подбор и обучение персонала, составление технологических карт, планов закупок и т.п., проведение переговоров с зарубежными поставщиками сх техники и посадочного материала",24
1755,Руководитель хозяйственно-ландшафтной службы,"Создание ландшафтного дизайна: зонирование и распределение садовых растений с учетом почвенных показателей. Создание клуб, розарий и рокарий. Уход за газоном: подкормка растений, проведение хим защиты растений от всех вредителей.  Формирование и стрижка кустарника. Клумбы: создание дизайн-проекта и оформления клумбы, подготовка почва-грунта, высадка, уход за цветами. Планирование сезонных работ: подготовка растений к зиме и пр.

  Внесения удобрений и обработка препаратами. Координация работы подчиненного персонала (17 чел) : распределение функциональных обязанностей, постановка задач и контроль за их исполнением, табелирование рабочего времени, учет товарно-материальных ценностей (выдача спец одежды, садовый инструмент, удобрения, цветы и пр).",24
3376,Руководитель проекта технологического оснащения производства,"- руководство работой отделом;
- проектирование электронного оборудования;
- работа по ОКР ВВТ и тех.сопровождению строительства и ремонта ВВТ, подготовка и проведение испытаний;
- организация работы с контрагентами;
-	организация разработки конструкторской и технологической документации при подготовке производства;
- разработка технологической оснастки, в т. ч. грузоподъёмные приспособления;
- конструкторское сопровождение (авторский надзор) при строительстве, ремонте и модернизации Заказов;
- разработка методик и проведение испытаний новых образцовобразцов.",24
2202,Инженер-технолог,"Регламент процесса, свод правил, должностные инструкции, оснащение производственных площадей, выбор оборудования, на котором следует осуществлять технологический процесс, оптимальные режимы работы, основные методы контроля количества и качества, ведение технологической документации. Проведение изобретательских, рационализаторских, экспериментальных работ по освоению новых технологических процессов и внедрению их в производство. Организационно-технические мероприятия по своевременному освоению производственных мощностей.

Наличие образования ""Электромонтер по ремонту и обслуживанию электрооборудования специального и общего назначения"", а так же большого опыта по наладке и запуску производственных линий, автоматизации действующих процессов позволяет собственными силами проектировать и внедрять  прогрессивные технологические процессы,средства автоматизации и механизации.

Основным достижением является разработка экономически обоснованного  проекта по промышленному культивированию в защищенном грунте гриба «ВЁШЕНКА» с последующей переработкой и реализацией товарной продукции.",24
4028,руководитель подразделения,"-взаимодействие со сторонними организациями;
- организация и контроль производства работ собственными и подрядными силами;
- составление графиков производства и его выполнение, отчетность;
- разработка материально-технического обеспечения;
- выполнение мероприятий по технике безопасности;
- организация противопожарной безопасности;
- общее руководство подразделением в чрезвычайных ситуациях;
- выполнение государственных заказов в сжатые сроки и при ограниченных возможностях;
- соблюдение установленного регламента документооборота;
-  управление персоналом;
- хозяйственная деятельность.
- организация и проведение лесозаготовки
",24
1025,Руководитель площадок по откорму бройлеров,"Управление,инвестиции,планирование бюджета,запуск нового производства.Обеспечение сочетания экономических и административных методов руководства,материальных и моральных стимулов повышения эффективности работы структурных подразделений. Решение вопросов, касающихся финансово-экономической и хозяйственной деятельности предприятия.Организация работы и эффективное взаимодействие всех структурных подразделений, направленных на деятельность на развитие и совершенствование процессов производства по повышению плановых производственных показателей с учетом  рыночных приоритетов.Разработка и внедрения мероприятий по снижению себестоимости и выхода высоких показателей категорийности птицы на убое.",24
35,Зоотехник,"Работа на немецком оборудовании Schauer

Формирование и контроль исполнения плана по содержанию и движению поголовья, осеменению, опоросу, отъему свиноматок, откорму;

выполнение производственных планов по выращиванию поголовья;

координация всей деятельности животноводческого комплекса (в подчинении до 60 человек);

Оптимизация кормления для скорейшего снижения показателей конверсии корма на всех стадиях производственного цикла;

Контроль селекционной работы;

Исследование состава стада и предоставление рекомендаций, работа в области сокращения затрат на единицу продукции;

Составление плана-графика поставки животных (товарных свиней) на убой;

Координация деятельности обслуживающего персонала производственной службы;

Разработка предложений по оптимизации и повышения эффективности работы свинокомплекса;

Консультирование и организация обучения персонала по технологическому процессу;

Работа с  внутренней системой отчетности;",24
2980,Специалист по учету и контролю,"- ежедневный учет и контроль  производственных показателей  (молоко, мясо и мясные продукты, скот в ж/в, продукция растениеводства) и сравнение данных показателей с данными  1-С бухгалтерии. Предоставление этих показателей

директору общества и единственному учредителю;

- постоянный контроль и учет за движением денежных средств . Предоставление этой информации директору общества и единственному учредителю по мере требования;

- проведение внеплановой и плановой инвентаризации по подразделениям;

- постоянный контроль и учет за реализацией продукции, за оплатой денежных средств контрагентами.",24
1551,Заместитель управляющего по качеству,"Сопровождение основной деятельности в части определения и контроля качества с/х продукции и продукции переработки, организация и выполнение по системе единства взаимодействия по вопросам качества между хозяйствами и элеваторами, проведение аудита текущего состояния деятельности лабораторий, сильных и слабых сторон существующей системы, основных зон риска, оценка компетенций и эффективности действующих сотрудников. Подбор, обучение, формирование команды, проведение процедуры ежегодной аттестации сотрудников службы, осуществляет профессиональную деятельность, предполагающую постановку целей собственной работы и подчиненных сотрудников.",24
2981,Управляющая подразделением,"- осуществление руководства за производственно-хозяйственной деятельностью отделения;

- участие в организации подготовки и повышения квалификации кадров;

- обеспечение применения прогрессивных систем заработной платы и материального стимулирования, научно-обоснованных норм выработки, развитие рационализации и изобретательства;

- организация внедрения передовой технологии производства, передовых приемов возделывания высокоурожайных сортов и гибридов овощных культур, научно-обоснованной системы влияния удобрений;

- контроль за соблюдением работником производственной, трудовой дисциплины, выполнением правил по охране труда и техники безопасности, противопожарной защите и производственной санитарии;

- участие в организации подготовки и повышения квалификации кадров;

- разработка форм отчетности и отчетность  к ежедневным, еженедельным и ежемесячным совещаниям.",24
3657,Специалист по логистике и коммерческой деятельности,"Организация погрузочных и разгрузочных работ жд вагонов, оформление сопутствующих государственных документов(карантинные,ветеринарные свидетельства, спруты), ведение договоров хранения.",24
2917,"Руководитель ""Центра Репродукции, Генетики и Селекции""","Ведение проекта по эмбриологии КРС по всем

ключевым аспектам;

Подготовка бизнес-планов проекта с горизонтом

планирования в 5-7 лет;

Разработка аналитических материалов в сфере

репродукции и эмбриотрансфера;

Подготовка к закупке оборудования и участие в

проведении тендеров;

Взаимодействие с государственными органами на

уровне глав министерств;

Получение государственных субсидий на затраченные

средства;

Подготовка программ для участия в получении грантов,

КНТП;

Анализ законодательной базы проекта и подготовка

аналитики по оптимизации государственного

регулирования;

Подбор ключевого персонала проекта;

Организация и участие в проведении эмбриотрансфера,

отёлов, содержания, хирургических операций КРС;",24
358,"Инженер-технолог, приемщик одновременно","Принимать товар по качеству и количеству, выдавать товар в производство по качеству и количеству согласно ГОСТ и ТУ, а так же принятым стандартам на предприятии.Вносить в программу 1 С 8 партии поступившего сырья и материалов (счет-фактуры, документы, подтверждающие качество товара и прочие)Следить за партионным учетом товара на складах. Отслеживать сроки годности .Следить за документацией подтверждающей качество товара (декларации, ветеринарные документы и прочие). Проводить мониторинге поставщиков, при необходимости составлять акты на возврат товара. Вести журналы контроля поступающего товара, температурного режима контроля журнал, как в электронном виде так и в письменном.",24
3052,Главный специалист,"- Взаимодействие с правоохранительными и контрольно-надзорными органами.

- Поддержка функционирования подведомственных организаций (интернет, связь, охрана, пожарная безопасность).

- Подготовка аналитических материалов и отчетности.

- Взаимодействие со смежными и обслуживающими организациями (Ростелеком, Ресурс-связь, ЖКХ).

- Организация закупки программоного обеспечения для подведомственных организаций (Softline, Microsoft).

- Установка и настройка орг.техники, пк.
Достижения:
- Внедрение программного обеспечения для оказания государственных услуг.
-  Реализация проектов по модернизации котельных подведомственных организаций.
- Оснащение подведомственных организаций системами видеонаблюдения.",24
1550,Начальник лаборатории,"Сопровождение основной деятельности в части определения и контроля качества с/х продукции и продукции переработки, организация и выполнение по системе единства взаимодействия по вопросам качества между хозяйствами, проведение аудита текущего состояния деятельности лабораторий, сильных и слабых сторон существующей системы, основных зон риска, оценка компетенций и эффективности действующих сотрудников. Подбор, обучение, формирование команды, проведение процедуры ежегодной аттестации сотрудников службы, осуществляет профессиональную деятельность, предполагающую постановку целей собственной работы и подчиненных сотрудников.Сопровождение проекта ФЦК (лаборатория эталонный участок).",24
2191,специалист по организации работ вахтовым методом,Организация и документальное оформление групп для работ в других регионах РФ,24
4060,Ведущий специалист по ценообразованию и строительному контролю,"Разработка ТЗ перед началом строительства. Проверка и согласование ПСД.
Прохождение негосударственной экспертизы ПСД.

Контроль и приемка работ подрядчиками соответствию качества технологиям строительства и объемам.
Сдача построенного объектов с сопутствующими документами в государственные органы для получения субсидий.

Проверка ценообразования подрядных организаций в соответствии с действующими изменениями сметной стоимости согласно индексов Минстроя и рыночной стоимости.

Составление и корректирование договор в соответствии с действующим законодательством и НД.",24
1325,специалист 1-ой категории по племенной работе,"Воспроизводство и племенная работа в Тихорецком и Выселковском районе по КРС и свиноводству. Ведение и сдача отчетности, бонитировки, закрепление быков-производителей. Владею техникой искусственного осеменения КРС (мано и ректоцирвикально) и свиней.",24
1333,Заместитель директора по питанию,"Организация и контроль работы филиала по оказанию услуги питания,
Проверка качества предоставляемых услуг филиала, работа с персоналом подбор, обучение, адаптация, мотивация
составление заявок и контроль выполнения заявок,  (продукты, ТМЦ , оборудование) , 
составление, корректировка и согласование меню; 
контроль подразделения, повышение эффективности
взаимодействие с Заказчиком",24
34,Начальник цеха,"Работа на немецком оборудовании Schauer.

Формирование и контроль исполнения плана по содержанию и движению поголовья;

Контроль за микроклиматом на разных участках содержания животных.

Выполнение производственных планов по выращиванию поголовья;

Координация всей деятельности животноводческого комплекса (в подчинении находилось до 60 человек);

Оптимизация кормления для скорейшего снижения показателей конверсии корма на всех стадиях производственного цикла;

Контроль селекционной работы;

Составление плана-графика поставки животных (товарных свиней) на убой;

Координация деятельности обслуживающего персонала производственной службы;

Разработка предложений по оптимизации и повышения эффективности работы свинокомплекса;

Консультирование и организация обучения персонала по технологическому процессу;

Работа с  внутренней системой отчетности;

Умение работать с программой Pig Champ.",24
3342,Инженер по нормированию труда,"Расчет трудовых, материальных затрат для изготовления, ремонта теплового и газового оборудования теплоэлектростанций. Разработка базы изготавливаемого оборудования и проводимых ремонтных работ в части трудовых и материальных затрат. Составление калькуляций выполняемых работ, формирование общей стоимости работ согласно составленных смет и актов выполненных работ. Согласование и утверждение смет и актов выполненных работ с заказчиком.",24
3366,ландшафтное проектирование на договорной основе с КВСО «ФСБ России»,"Проектирование и осуществление проектов в программе AutoCad по озеленению и благоустройству территории объектов .Составление смет.Разработка дизайн-проектов озеленения и благоустройства.Разработка концепций оформления и проектов различных элементов благоустройства территории.Воплощение проектов на объектах.Подбор материала.Работа с различными питомниками посадочного материала (Россия, Европа)Документальное сопровождение.Составление смет на озеленение, благоустройство, проектные работы, инвентаризацию.Авторский надзор.",24
862,специалист 1 категории Службы управления агропроектами.,"Продажа семян пивоваренного ячменя с последующим контролем технологии их выращивания, подработки и хранения. Рекомендации по использованию минеральных удобрений, средств защиты растений. Закупка и контроль качества поставляемого сырья. Поиск новых поставщиков. Согласование уставных документов контрагентов, договоров на покупку, продажу и хранение ячменя. Работа с транспортными компаниями. Сертификация пивоваренного ячменя. Работа с Россельхознадзором и контрольно-семенными инспекциями.",24
2115,Production analyst,"- Обеспечение сбора и анализа информации о работе производственного оборудования, используя существующие информационные системы и процессы.
- Отслеживание возникающих тенденций, выявление причин несоответствий, предложения по решению выявленных проблем и путей улучшения производственных процессов. Выявление взаимосвязи и влияний различных производственных показателей. 

- Ведение необходимой документации, связанной с производственными процессами и персоналом в бумажном и электронном виде. Улучшение имеющихся и разработка новых методов сбора, оценки и анализа информации в производстве.

- Координация процесса забраковки продукции на производственных линиях. 

- Консультация персонала по вопросам определения целей и задач на основе анализа получаемой информации. Привлечение специалистов необходимых структурных подразделений производства и координация  процесса по реализации поставленных задач. Отслеживание результатов запланированных действий,оценка результата относительно поставленных целей, анализ влияния предпринятых действий на производительность оборудования. 
- Проведение обучений по повышению квалификации персонала в вопросах анализа данных и предоставление информации.",24
2214,Специалист по сопровождению ПО,"Разработка программ обучения, обучение персонала программным обеспечениям, принятым в работу в компании, составление экзаменационных тестов, организация и проведение аттестаций персонала на знание программных обеспечений, составление отчетности по итогам аттестации, сопровождение пользователей программных обеспечений, взаимодействие с разработчиками программных обеспечений, внедрение новых программ.",24
2452,начальник детского питания,"руководство производственно-хозяйственной деятельностью цеха; выполнение производственных заданий, планов производства; совершенствование организации производства, его технологии; отчетность; создание и соблюдение норм и требований НАССР и СМК; координация работников цеха; подбор кадров, их расстановка; контроль за соблюдением работниками правил и норм охраны труда и техники безопасности; организация работы по повышению квалификации рабочих; создание улучшений по системе ""Бережливое производство"" (5S? AM и т.д.)",24
3218,Аппаратчик конверсии,"Соблюдение параметров технологического процесса двух стадий: стадии конверсии и стадии очистки газа, обеспечивающих соблюдение технологического регламента производства аммиака.
Выполнение требований по охране труда при производстве работ в соответствии с требованиями правил, норм и инструкций по безопасности труда.
Контроль за состоянием воздушной среды на рабочем месте.
Обеспечение подготовки оборудования в ремонт, сдачи и приема из ремонта.
Обеспечение культуры производства на закрепленной территории и закрепленном оборудовании.
Обеспечение безопасной эксплуатации оборудования, трубопроводов, коммуникаций, сосудов работающих под давлением, подъемных сооружений.
Обеспечение безопасности и охраны окружающей среды при выполнении работ подрядными организациями.
Ведение журнала параметров технологического процесса в течение рабочей смены.",24
2114,Production technology,"- Контроль, совершенствование и оперативная корректировка технологических параметров на всех этапах производства продукции для обеспечения стабильности процесса и качества выпускаемой продукции.
- Изучение возможных способов усовершенствования и стандартизации ключевых показателей технологического процесса. Обеспечение экспертной поддержки в решении производственных вопросов. 
- Проведение исследований изменений технологического процесса, направленные на улучшение существующих процессов, и расчёт влияния внесенных изменений. Координация процесса пересмотра спецификации на продукт. 
- Разработка планов по снижению отходов сырья и материалов и координация их выполнения. Развитие культуры бережливого использования сырья и материалов среди производственного персонала. 

- Координация тестирований опытных образцов продукции и подготовка отчетов.

- Ответственность за актуальность производственной документации по процессам движения материалов и готовой продукции, технологическим процессам, процессам учета и отчетности, целевых значений отходов в производстве, данных в SAP.

- Участие в обучении сотрудников производственного отдела и ежегодный оценки деятельности. 

- Обеспечение наличия и выполнения планов развития для своих подчиненных.",24
643,Инженер по производственным процессам,"Основные обязанности: Обучение персонала профессиональным навыкам. Разработка и постановка технологических процессов с целью получения качественного продукта при переработке и закладке на хранение зерна. Постановка организационных процессов на производстве. Обучение линейных руководителей навыкам управлению персоналом. Разработка и введение регламентов на производстве.

Достижения: Подработка и закладка на хранение семенного материала пшеницы в соответствии с ГОСТ . Всхожесть 98.9%

Подработка семенного материала сои по сортам в соответствии с гостом. Всхожесть 98% Подработка,закладка на хранение,и отгрузка клиенту товарной сои,пшеницы,кукурузы в соответствии с ГОСТ.",24
2693,Специалист по работе с клиентами справочно-правовой системы Гарант,"- обслуживание и сопровождение справочно-правовой системы ""Гарант""; 

- работа с клиентами фирмы по возникающим вопросам;",24
1256,Инженер отдела оценки производственных факторов,"Специальная оценка производственных факторов, предложение услуг по охране труда и проверка соответствующих документов.",24
4298,Рабочий по комплексному обслуживанию производства,"Должность:    Наёмный рабочий

В организации:    Агрокомплекс ""Чурилово"" (через компанию ""Фаворит"")

Должностные обязанности и достижения:    -Работал на всех участках комплекса, выполняя широкий спектр обязанностей.

    - Благоустройство территории комплекса (уборка, ремонт) ; 

    - Фасовка продукции. ; 

    - Уборка, посадка в теплице, работа с рассадой. ; 

    - Работа на складских помещениях, погрузка, разгрузка, сборка полет. ; 

    - Сборка и разборка катушек, так же намотка.",24
